trial	choice	gain	loss	subjID
0	1	50	-75	44725
1	1	50	-50	44725
2	1	50	0	44725
3	1	50	-75	44725
0	1	50	-75	44734
2	1	50	-50	44734
11	1	50	-75	44744
12	1	50	-50	44744
13	1	50	0	44744
14	1	50	-75	44744
4	1	50	-75	44751
0	1	50	-75	44761
11	1	50	-50	44761
12	1	50	0	44761
13	1	50	-75	44761
14	1	50	0	44761
15	1	50	-25	44761
1	1	50	-75	44768
2	1	50	-50	44768
3	1	50	0	44768
8	1	50	-75	44768
19	1	50	0	44768
0	1	50	-75	44771
1	1	50	-50	44771
2	1	50	0	44771
3	1	50	-75	44771
6	1	50	0	44771
15	1	50	-25	44771
16	1	50	-25	44771
0	1	50	-75	44776
3	1	50	-50	44776
9	1	50	0	44776
10	1	50	-75	44776
0	1	50	-75	44777
0	1	50	-75	44779
15	1	50	-50	44779
3	1	50	-75	44788
4	1	50	-50	44788
5	1	50	0	44788
6	1	50	-75	44788
7	1	50	0	44788
1	1	50	-75	44790
8	1	50	-50	44790
9	1	50	0	44790
10	1	50	-75	44790
0	1	50	-75	44794
5	1	50	-50	44794
16	1	50	0	44794
0	1	50	-75	44805
0	1	50	-75	44812
1	1	50	-50	44812
2	1	50	0	44812
3	1	50	-75	44812
4	1	50	0	44812
5	1	50	-25	44812
6	1	50	-25	44812
0	1	50	-75	44828
3	1	50	-50	44828
4	1	50	0	44828
5	1	50	-75	44828
10	1	50	0	44828
18	1	50	-25	44828
0	1	50	-75	44853
19	1	50	-50	44853
1	1	50	-75	44856
2	1	50	-50	44856
8	1	50	0	44856
17	1	50	-75	44856
0	1	50	-75	44864
5	1	50	-50	44864
11	1	50	0	44864
12	1	50	-75	44864
13	1	50	0	44864
14	1	50	-25	44864
15	1	50	-25	44864
16	1	50	0	44864
0	1	50	-75	44877
4	1	50	-50	44877
9	1	50	0	44877
17	1	50	-75	44877
0	1	50	-75	44884
1	1	50	-50	44884
2	1	50	0	44884
10	1	50	-75	44884
12	1	50	0	44884
0	1	50	-75	44902
1	1	50	-50	44902
2	1	50	0	44902
3	1	50	-75	44902
1	1	50	-75	44904
2	1	50	-50	44904
3	1	50	0	44904
12	1	50	-75	44904
0	1	50	-75	44908
10	1	50	-50	44908
19	1	50	0	44908
0	1	50	-75	44912
10	1	50	-50	44912
14	1	50	0	44912
19	1	50	-75	44912
0	1	50	-75	44916
7	1	50	-50	44916
12	1	50	0	44916
17	1	50	-75	44916
0	1	50	-75	44926
3	1	50	-50	44926
12	1	50	0	44926
16	1	50	-75	44926
17	1	50	0	44926
18	1	50	-25	44926
0	1	50	-75	44943
14	1	50	-50	44943
0	1	50	-75	44946
1	1	50	-50	44946
9	1	50	0	44946
0	1	50	-75	44952
8	1	50	-50	44952
0	1	50	-75	44963
9	1	50	-50	44963
10	1	50	0	44963
17	1	50	-75	44963
